PASS	wr|ct=2|bd=8|w=21|h=9|tr=bgr|mode=split|n=2|seed=4001	write RGB/8-bit with transform(s) bgr	exit 0
PASS	wr|ct=2|bd=16|w=21|h=9|tr=bgr|mode=split|n=2|seed=4001	write RGB/16-bit with transform(s) bgr	exit 0
PASS	wr|ct=6|bd=8|w=21|h=9|tr=bgr|mode=split|n=2|seed=4001	write RGBA/8-bit with transform(s) bgr	exit 0
PASS	wr|ct=6|bd=8|w=21|h=9|tr=invalpha|mode=split|n=2|seed=4001	write RGBA/8-bit with transform(s) invalpha	exit 0
PASS	wr|ct=6|bd=8|w=21|h=9|tr=swapalpha|mode=split|n=2|seed=4001	write RGBA/8-bit with transform(s) swapalpha	exit 0
PASS	wr|ct=6|bd=8|w=21|h=9|tr=bgr+invalpha+swapalpha|mode=split|n=2|seed=4001	write RGBA/8-bit with transform(s) bgr+invalpha+swapalpha	exit 0
PASS	wr|ct=6|bd=16|w=21|h=9|tr=invalpha|mode=split|n=2|seed=4001	write RGBA/16-bit with transform(s) invalpha	exit 0
PASS	wr|ct=4|bd=8|w=21|h=9|tr=invalpha|mode=split|n=2|seed=4001	write GRAY_ALPHA/8-bit with transform(s) invalpha	exit 0
PASS	wr|ct=4|bd=8|w=21|h=9|tr=swapalpha|mode=split|n=2|seed=4001	write GRAY_ALPHA/8-bit with transform(s) swapalpha	exit 0
PASS	wr|ct=2|bd=16|w=21|h=9|tr=swap16|mode=split|n=2|seed=4001	write RGB/16-bit with transform(s) swap16	exit 0
PASS	wr|ct=6|bd=16|w=21|h=9|tr=swap16|mode=split|n=2|seed=4001	write RGBA/16-bit with transform(s) swap16	exit 0
PASS	wr|ct=0|bd=16|w=21|h=9|tr=swap16|mode=split|n=2|seed=4001	write GRAY/16-bit with transform(s) swap16	exit 0
PASS	wr|ct=0|bd=1|w=21|h=9|tr=packing|mode=split|n=2|seed=4001	write GRAY/1-bit with transform(s) packing	exit 0
PASS	wr|ct=0|bd=2|w=21|h=9|tr=packing|mode=split|n=2|seed=4001	write GRAY/2-bit with transform(s) packing	exit 0
PASS	wr|ct=0|bd=4|w=21|h=9|tr=packing|mode=split|n=2|seed=4001	write GRAY/4-bit with transform(s) packing	exit 0
PASS	wr|ct=3|bd=1|w=21|h=9|tr=packing|mode=split|n=2|seed=4001	write PALETTE/1-bit with transform(s) packing	exit 0
PASS	wr|ct=3|bd=2|w=21|h=9|tr=packing|mode=split|n=2|seed=4001	write PALETTE/2-bit with transform(s) packing	exit 0
PASS	wr|ct=3|bd=4|w=21|h=9|tr=packing|mode=split|n=2|seed=4001	write PALETTE/4-bit with transform(s) packing	exit 0
PASS	wr|ct=0|bd=1|w=21|h=9|tr=packswap|mode=split|n=2|seed=4001	write GRAY/1-bit with transform(s) packswap	exit 0
PASS	wr|ct=0|bd=2|w=21|h=9|tr=packswap|mode=split|n=2|seed=4001	write GRAY/2-bit with transform(s) packswap	exit 0
PASS	wr|ct=0|bd=4|w=21|h=9|tr=packswap|mode=split|n=2|seed=4001	write GRAY/4-bit with transform(s) packswap	exit 0
PASS	wr|ct=3|bd=4|w=21|h=9|tr=packswap|mode=split|n=2|seed=4001	write PALETTE/4-bit with transform(s) packswap	exit 0
PASS	wr|ct=0|bd=1|w=21|h=9|tr=packing+packswap|mode=split|n=2|seed=4001	write GRAY/1-bit with transform(s) packing+packswap	exit 0
PASS	wr|ct=0|bd=1|w=21|h=9|tr=invmono|mode=split|n=2|seed=4001	write GRAY/1-bit with transform(s) invmono	exit 0
PASS	wr|ct=0|bd=8|w=21|h=9|tr=invmono|mode=split|n=2|seed=4001	write GRAY/8-bit with transform(s) invmono	exit 0
PASS	wr|ct=4|bd=8|w=21|h=9|tr=invmono|mode=split|n=2|seed=4001	write GRAY_ALPHA/8-bit with transform(s) invmono	exit 0
PASS	wr|ct=0|bd=8|w=21|h=9|tr=shift|mode=split|n=2|seed=4001	write GRAY/8-bit with transform(s) shift	exit 70; png_error: png_set_shift: invalid shift values
PASS	wr|ct=0|bd=16|w=21|h=9|tr=shift|mode=split|n=2|seed=4001	write GRAY/16-bit with transform(s) shift	exit 70; png_error: png_set_shift: invalid shift values
PASS	wr|ct=2|bd=16|w=21|h=9|tr=shift|mode=split|n=2|seed=4001	write RGB/16-bit with transform(s) shift	exit 70; png_error: png_set_shift: invalid shift values
PASS	wr|ct=6|bd=16|w=21|h=9|tr=shift|mode=split|n=2|seed=4001	write RGBA/16-bit with transform(s) shift	exit 70; png_error: png_set_shift: invalid shift values
PASS	wr|ct=2|bd=8|w=21|h=9|tr=filler_after|mode=split|n=2|seed=4001	write RGB/8-bit with transform(s) filler_after	exit 70; png_error: png_set_filler is invalid for low bit depth gray output
PASS	wr|ct=2|bd=8|w=21|h=9|tr=filler_before|mode=split|n=2|seed=4001	write RGB/8-bit with transform(s) filler_before	exit 70; png_error: png_set_filler is invalid for low bit depth gray output
PASS	wr|ct=0|bd=8|w=21|h=9|tr=filler_after|mode=split|n=2|seed=4001	write GRAY/8-bit with transform(s) filler_after	exit 70; png_error: png_set_filler is invalid for low bit depth gray output
PASS	wr|ct=2|bd=16|w=21|h=9|tr=filler_after|mode=split|n=2|seed=4001	write RGB/16-bit with transform(s) filler_after	exit 70; png_error: png_set_filler is invalid for low bit depth gray output
PASS	wr|ct=6|bd=8|w=15|h=7|mode=png|wt=0|n=2|seed=4002	png_write_png(IDENTITY) on RGBA/8-bit	exit 0
PASS	wr|ct=0|bd=4|w=15|h=7|mode=png|wt=4|n=2|seed=4002	png_write_png(PACKING) on GRAY/4-bit	exit 0
PASS	wr|ct=0|bd=4|w=15|h=7|mode=png|wt=8|n=2|seed=4002	png_write_png(PACKSWAP) on GRAY/4-bit	exit 0
PASS	wr|ct=0|bd=4|w=15|h=7|mode=png|wt=32|n=2|seed=4002	png_write_png(INVERT_MONO) on GRAY/4-bit	exit 0
PASS	wr|ct=2|bd=8|w=15|h=7|mode=png|wt=64|n=2|seed=4002	png_write_png(SHIFT) on RGB/8-bit	exit 0
PASS	wr|ct=6|bd=8|w=15|h=7|mode=png|wt=128|n=2|seed=4002	png_write_png(BGR) on RGBA/8-bit	exit 0
PASS	wr|ct=6|bd=8|w=15|h=7|mode=png|wt=256|n=2|seed=4002	png_write_png(SWAP_ALPHA) on RGBA/8-bit	exit 0
PASS	wr|ct=2|bd=16|w=15|h=7|mode=png|wt=512|n=2|seed=4002	png_write_png(SWAP_ENDIAN) on RGB/16-bit	exit 0
PASS	wr|ct=6|bd=8|w=15|h=7|mode=png|wt=1024|n=2|seed=4002	png_write_png(INVERT_ALPHA) on RGBA/8-bit	exit 0
PASS	wr|ct=6|bd=8|w=15|h=7|mode=png|wt=1152|n=2|seed=4002	png_write_png(BGR|INVERT_ALPHA) on RGBA/8-bit	exit 0
