=== bounds / misc ===
versionNumber                                10507
versionString                                1.5.7
minCLevel                                    -131072
maxCLevel                                    22
defaultCLevel                                3
CStreamInSize                                131072
CStreamOutSize                               131591
DStreamInSize                                131075
DStreamOutSize                               131072
estimateDCtxSize                             95992
estimateCCtxSize[-22]                        549912
estimateCStreamSize[-22]                     1336857
estimateCDictSize[-22]                       147680
estimateCCtxSize[-21]                        549912
estimateCStreamSize[-21]                     1336857
estimateCDictSize[-21]                       147680
estimateCCtxSize[-20]                        549912
estimateCStreamSize[-20]                     1336857
estimateCDictSize[-20]                       147680
estimateCCtxSize[-19]                        549912
estimateCStreamSize[-19]                     1336857
estimateCDictSize[-19]                       147680
estimateCCtxSize[-18]                        549912
estimateCStreamSize[-18]                     1336857
estimateCDictSize[-18]                       147680
estimateCCtxSize[-17]                        549912
estimateCStreamSize[-17]                     1336857
estimateCDictSize[-17]                       147680
estimateCCtxSize[-16]                        549912
estimateCStreamSize[-16]                     1336857
estimateCDictSize[-16]                       147680
estimateCCtxSize[-15]                        549912
estimateCStreamSize[-15]                     1336857
estimateCDictSize[-15]                       147680
estimateCCtxSize[-14]                        549912
estimateCStreamSize[-14]                     1336857
estimateCDictSize[-14]                       147680
estimateCCtxSize[-13]                        549912
estimateCStreamSize[-13]                     1336857
estimateCDictSize[-13]                       147680
estimateCCtxSize[-12]                        549912
estimateCStreamSize[-12]                     1336857
estimateCDictSize[-12]                       147680
estimateCCtxSize[-11]                        549912
estimateCStreamSize[-11]                     1336857
estimateCDictSize[-11]                       147680
estimateCCtxSize[-10]                        549912
estimateCStreamSize[-10]                     1336857
estimateCDictSize[-10]                       147680
estimateCCtxSize[-9]                         549912
estimateCStreamSize[-9]                      1336857
estimateCDictSize[-9]                        147680
estimateCCtxSize[-8]                         549912
estimateCStreamSize[-8]                      1336857
estimateCDictSize[-8]                        147680
estimateCCtxSize[-7]                         549912
estimateCStreamSize[-7]                      1336857
estimateCDictSize[-7]                        147680
estimateCCtxSize[-6]                         549912
estimateCStreamSize[-6]                      1336857
estimateCDictSize[-6]                        147680
estimateCCtxSize[-5]                         549912
estimateCStreamSize[-5]                      1336857
estimateCDictSize[-5]                        147680
estimateCCtxSize[-4]                         549912
estimateCStreamSize[-4]                      1336857
estimateCDictSize[-4]                        147680
estimateCCtxSize[-3]                         549912
estimateCStreamSize[-3]                      1336857
estimateCDictSize[-3]                        147680
estimateCCtxSize[-2]                         549912
estimateCStreamSize[-2]                      1336857
estimateCDictSize[-2]                        147680
estimateCCtxSize[-1]                         549912
estimateCStreamSize[-1]                      1336857
estimateCDictSize[-1]                        147680
estimateCCtxSize[0]                          1303576
estimateCStreamSize[0]                       3663385
estimateCDictSize[0]                         508128
estimateCCtxSize[1]                          582680
estimateCStreamSize[1]                       1369625
estimateCDictSize[1]                         164064
estimateCCtxSize[2]                          779288
estimateCStreamSize[2]                       2090521
estimateCDictSize[2]                         278752
estimateCCtxSize[3]                          1303576
estimateCStreamSize[3]                       3663385
estimateCDictSize[3]                         508128
estimateCCtxSize[4]                          2614296
estimateCStreamSize[4]                       4974105
estimateCDictSize[4]                         1163488
estimateCCtxSize[5]                          3662872
estimateCStreamSize[5]                       6022681
estimateCDictSize[5]                         1032416
estimateCCtxSize[6]                          3662872
estimateCStreamSize[6]                       6022681
estimateCDictSize[6]                         1032416
estimateCCtxSize[7]                          6808600
estimateCStreamSize[7]                       9168409
estimateCDictSize[7]                         1032416
estimateCCtxSize[8]                          6808600
estimateCStreamSize[8]                       9168409
estimateCDictSize[8]                         1032416
estimateCCtxSize[9]                          13100056
estimateCStreamSize[9]                       17557017
estimateCDictSize[9]                         1032416
estimateCCtxSize[10]                         25682968
estimateCStreamSize[10]                      30139929
